R1_back,R2_back,trait_back,R1_supp,R2_supp,L1,L2,Meff
0.078125,0.0,0.00111499092558985,0.15625,0.165,-1.0,0.0,-1.0
0.078125,0.0,0.00111499092558985,0.3125,0.165,-0.33333333333333337,0.0,-1.0
0.078125,0.0,0.00111499092558985,0.625,0.165,-0.14285714285714285,0.0,-1.0
0.078125,0.0,0.00111499092558985,1.25,0.165,-0.06666666666666667,0.0,-1.0
0.078125,0.0,0.00111499092558985,2.5,0.165,-0.03225806451612903,0.0,-1.0
0.078125,0.0,0.00111499092558985,5.0,0.165,-0.015873015873015872,0.0,-1.0
0.078125,0.0,0.00111499092558985,10.0,0.165,-0.007874015748031496,0.0,-1.0
0.078125,0.0,0.00111499092558985,20.0,0.165,-0.00392156862745098,0.0,-1.0
0.078125,0.0,0.00111499092558985,40.0,0.165,-0.0019569471624266144,0.0,-1.0
0.078125,0.0,0.00111499092558985,0.15625,0.49,-1.0,0.0,-1.0
0.078125,0.0,0.00111499092558985,0.3125,0.49,-0.33333333333333337,0.0,-1.0
0.078125,0.0,0.00111499092558985,0.625,0.49,-0.14285714285714285,0.0,-1.0
0.078125,0.0,0.00111499092558985,1.25,0.49,-0.06666666666666667,0.0,-1.0
0.078125,0.0,0.00111499092558985,2.5,0.49,-0.03225806451612903,0.0,-1.0
0.078125,0.0,0.00111499092558985,5.0,0.49,-0.015873015873015872,0.0,-1.0
0.078125,0.0,0.00111499092558985,10.0,0.49,-0.007874015748031496,0.0,-1.0
0.078125,0.0,0.00111499092558985,20.0,0.49,-0.00392156862745098,0.0,-1.0
0.078125,0.0,0.00111499092558985,40.0,0.49,-0.0019569471624266144,0.0,-1.0
0.078125,0.0,0.00111499092558985,0.15625,1.48,-1.0,0.0,-1.0
0.078125,0.0,0.00111499092558985,0.3125,1.48,-0.33333333333333337,0.0,-1.0
0.078125,0.0,0.00111499092558985,0.625,1.48,-0.14285714285714285,0.0,-1.0
0.078125,0.0,0.00111499092558985,1.25,1.48,-0.06666666666666667,0.0,-1.0
0.078125,0.0,0.00111499092558985,2.5,1.48,-0.03225806451612903,0.0,-1.0
0.078125,0.0,0.00111499092558985,5.0,1.48,-0.015873015873015872,0.0,-1.0
0.078125,0.0,0.00111499092558985,10.0,1.48,-0.007874015748031496,0.0,-1.0
0.078125,0.0,0.00111499092558985,20.0,1.48,-0.00392156862745098,0.0,-1.0
0.078125,0.0,0.00111499092558985,40.0,1.48,-0.0019569471624266144,0.0,-1.0
