Model name,Num parameters,R^2,Akaike weight,Parameter names,Parameter values
liebig_monod,3,0.4382055763599848,4.090110061623158e-31,zmax;s1;s2,0.6195520135313249;65.94091567236318;99.90428986596856
liebig_monod_rmin,5,0.9477599260450701,0.23615757712351695,zmax;s1;s2;R1min;R2min,0.6840867834627574;15.48704348311549;82.00083348950558;0.029003290826049397;4.905518135316457e-14
liebig_hill,5,0.5421546956492866,1.2352431212929854e-29,zmax;s1;s2;n1;n2,0.793396591331641;32.35401286702092;68.4349164153972;0.39250625015024;0.8541392745726752
liebig_hill_rmin,7,0.9508378649597228,0.10955363496871916,zmax;s1;s2;n1;n2;R1min;R2min,0.6583713430136353;6.98636220870601;85.43367134833674;1.9220603429106404;1.1236358146117127;0.08041418272009881;2.2767096649143516e-07
liebig_blackman,3,-0.16326112982424812,1.345058655728268e-40,zmax;s1;s2,0.5968551214821065;11.05566211132342;37.56868539127802
liebig_blackman_rmin,5,0.862468581334635,5.771087931818199e-14,zmax;s1;s2;R1min;R2min,0.6442564379988369;2.012124551824998;1.3324641279662708;0.1488860766178031;0.33251699520439293
liebig_bertalanffy,3,0.3084421665379212,8.02052072973211e-34,zmax;s1;s2,0.5652422320615454;68.42079601554111;84.39889033473692
liebig_bertalanffy_rmin,5,0.9475360287682046,0.20772106548323,zmax;s1;s2;R1min;R2min,0.6390645733454438;9.423960058423106;43.42298814744251;0.05677727398977875;0.008977970514175981
multiplicative_monod,3,0.44671151965330835,6.4641120034983765e-31,zmax;s1;s2,0.6202369270092167;134.30415898650423;196.85571283431173
multiplicative_monod_rmin,5,0.9146062459001293,9.343986045653145e-08,zmax;s1;s2;R1min;R2min,0.6679987683855954;33.116642482966654;198.75183820356997;0.024219298583556016;2.227732439083079e-20
multiplicative_hill,5,0.5170898129875101,2.496458599988989e-30,zmax;s1;s2;n1;n2,0.7347880221327284;91.67257585683308;181.9270056938461;0.4385251788926363;1.0895965140737613
multiplicative_hill_rmin,7,0.9156773680025573,1.0238214807522075e-08,zmax;s1;s2;n1;n2;R1min;R2min,0.6518392485312359;21.466775752808296;188.61595171631188;1.3952941543671296;1.0745038171009103;0.04177261521581986;6.932007075851084e-16
multiplicative_blackman,3,-0.20771931289718637,4.3659361475253274e-41,zmax;s1;s2,0.5909055076915306;19.046857364562417;67.83369677708006
multiplicative_blackman_rmin,5,0.8027545313554936,1.1563900094683137e-18,zmax;s1;s2;R1min;R2min,0.6432704497562659;1.7546349361931575;1.537584758318385;0.31388118561793765;0.49340682688017035
multiplicative_bertalanffy,3,0.2947868548085584,4.461138930857176e-34,zmax;s1;s2,0.5600165264469135;136.0076781745085;162.35787595689416
multiplicative_bertalanffy_rmin,5,0.9082071404833386,1.069174033865889e-08,zmax;s1;s2;R1min;R2min,0.6260487638155485;17.38134495167311;67.28811573301418;0.055743880088736396;0.014119936516360024
pat,3,0.45311150198420724,9.164188875917806e-31,zmax;s1;s2,0.6243481391133048;67.91388257155546;100.99190181273602
pat_rmin,5,0.9487250257554446,0.41319194854816255,zmax;s1;s2;R1min;R2min,0.6863747086670262;16.684910304386754;89.32714748933404;0.027780838884096066;3.2224270045456906e-18
additive,3,0.46100131647711295,1.4171851208164833e-30,zmax;s1;s2,0.6286064980795947;74.9985558807537;108.41725495035
additive_rmin,5,0.936692156773075,0.0007406104412771872,zmax;s1;s2;R1min;R2min,0.6842001354591878;19.78033867072127;107.69113349789276;0.024830190900010343;1.6892006254872397e-17
mankad_bungay,3,0.43357513171392836,3.1973365118772775e-31,zmax;s1;s2,0.619136501060438;57.6891652605977;91.71465864561505
mankad_bungay_rmin,5,0.9331765739631116,0.00014637039087644715,zmax;s1;s2;R1min;R2min,0.679645731229885;14.398698246165939;72.00121699199786;0.027477907824622377;1.3044875433642974e-18
generalized_mean,4,0.5065683229384261,5.037438287812824e-30,zmax;s1;s2;q,0.7642683488016038;456.9582796540288;1175.3227103664044;0.48776470905196906
generalized_mean_rmin,6,0.946580050739699,0.03248867867271639,zmax;s1;s2;q;R1min;R2min,0.6428018850376762;4.34801355715349;19.57294554569223;2.6278374501439714;0.0702018103655073;0.012025159906903457
saito_sub,3,0.4998642252596204,1.3378890347929727e-29,zmax;s1;s2,0.5558899110006488;53.86060573640098;1.3686133407184382
saito_sub_rmin,5,0.7320170779740969,1.1751730662627902e-22,zmax;s1;s2;R1min;R2min,0.5951532039046179;20.621736870291237;0.17644924911955748;0.02180991405605438;0.000163172954982007
mean_monod_sub,3,0.864949820634818,1.5282793941865988e-12,zmax;s1;s2,0.6420388198375833;12.281314106578147;75.39749628981797
mean_monod_sub_rmin,5,0.8649498206348594,9.964612560040334e-14,zmax;s1;s2;R1min;R2min,0.6420387745278283;12.281323565607138;75.39749724418584;6.528317204527846e-20;1.4989556961972757e-21
chem_depend,3,0.2763093875140985,2.0533810223998514e-34,zmax;s1;s2,0.5551039261344362;94.93362712494414;53.89725627327171
chem_depend_rmin,5,0.7575617466237359,2.3729084432572713e-21,zmax;s1;s2;R1min;R2min,0.609819860890276;20.124456123019;38.430081187526035;0.032782885226659765;0.005380247153987506
