R1_back,R2_back,trait_back,R1_supp,R2_supp,L1,L2,Meff
1.25,0.0,0.000133212341197855,2.5,0.165,8.707901907354763,0.0,1.0
1.25,0.0,0.000133212341197855,5.0,0.165,-0.33333333333333337,0.0,-1.0
1.25,0.0,0.000133212341197855,10.0,0.165,-0.14285714285714288,0.0,-1.0
1.25,0.0,0.000133212341197855,20.0,0.165,-0.06666666666666667,0.0,-1.0
1.25,0.0,0.000133212341197855,40.0,0.165,-0.03225806451612904,0.0,-1.0
1.25,0.0,0.000133212341197855,2.5,0.49,8.707901907354763,0.0,1.0
1.25,0.0,0.000133212341197855,5.0,0.49,-0.33333333333333337,0.0,-1.0
1.25,0.0,0.000133212341197855,10.0,0.49,-0.14285714285714288,0.0,-1.0
1.25,0.0,0.000133212341197855,20.0,0.49,-0.06666666666666667,0.0,-1.0
1.25,0.0,0.000133212341197855,40.0,0.49,-0.03225806451612904,0.0,-1.0
1.25,0.0,0.000133212341197855,2.5,1.48,8.707901907354763,0.0,1.0
1.25,0.0,0.000133212341197855,5.0,1.48,-0.33333333333333337,0.0,-1.0
1.25,0.0,0.000133212341197855,10.0,1.48,-0.14285714285714288,0.0,-1.0
1.25,0.0,0.000133212341197855,20.0,1.48,-0.06666666666666667,0.0,-1.0
1.25,0.0,0.000133212341197855,40.0,1.48,-0.03225806451612904,0.0,-1.0
1.25,0.0,0.000133212341197855,2.5,4.44,8.707901907354763,0.0,1.0
1.25,0.0,0.000133212341197855,5.0,4.44,-0.33333333333333337,0.0,-1.0
1.25,0.0,0.000133212341197855,10.0,4.44,-0.14285714285714288,0.0,-1.0
1.25,0.0,0.000133212341197855,20.0,4.44,-0.06666666666666667,0.0,-1.0
1.25,0.0,0.000133212341197855,40.0,4.44,-0.03225806451612904,0.0,-1.0
1.25,0.0,0.000133212341197855,2.5,13.33,8.707901907354763,0.0,1.0
1.25,0.0,0.000133212341197855,5.0,13.33,-0.33333333333333337,0.0,-1.0
1.25,0.0,0.000133212341197855,10.0,13.33,-0.14285714285714288,0.0,-1.0
1.25,0.0,0.000133212341197855,20.0,13.33,-0.06666666666666667,0.0,-1.0
1.25,0.0,0.000133212341197855,40.0,13.33,-0.03225806451612904,0.0,-1.0
1.25,0.0,0.000133212341197855,2.5,40.0,8.707901907354763,0.0,1.0
1.25,0.0,0.000133212341197855,5.0,40.0,-0.33333333333333337,0.0,-1.0
1.25,0.0,0.000133212341197855,10.0,40.0,-0.14285714285714288,0.0,-1.0
1.25,0.0,0.000133212341197855,20.0,40.0,-0.06666666666666667,0.0,-1.0
1.25,0.0,0.000133212341197855,40.0,40.0,-0.03225806451612904,0.0,-1.0
2.5,0.0,0.00129321234119785,5.0,0.165,-0.9999999999999999,0.0,-1.0
2.5,0.0,0.00129321234119785,10.0,0.165,-0.33333333333333337,0.0,-1.0
2.5,0.0,0.00129321234119785,20.0,0.165,-0.14285714285714288,0.0,-1.0
2.5,0.0,0.00129321234119785,40.0,0.165,-0.06666666666666667,0.0,-1.0
2.5,0.0,0.00129321234119785,5.0,0.49,-0.9999999999999999,0.0,-1.0
2.5,0.0,0.00129321234119785,10.0,0.49,-0.33333333333333337,0.0,-1.0
2.5,0.0,0.00129321234119785,20.0,0.49,-0.14285714285714288,0.0,-1.0
2.5,0.0,0.00129321234119785,40.0,0.49,-0.06666666666666667,0.0,-1.0
2.5,0.0,0.00129321234119785,5.0,1.48,-0.9999999999999999,0.0,-1.0
2.5,0.0,0.00129321234119785,10.0,1.48,-0.33333333333333337,0.0,-1.0
2.5,0.0,0.00129321234119785,20.0,1.48,-0.14285714285714288,0.0,-1.0
2.5,0.0,0.00129321234119785,40.0,1.48,-0.06666666666666667,0.0,-1.0
2.5,0.0,0.00129321234119785,5.0,4.44,-0.9999999999999999,0.0,-1.0
2.5,0.0,0.00129321234119785,10.0,4.44,-0.33333333333333337,0.0,-1.0
2.5,0.0,0.00129321234119785,20.0,4.44,-0.14285714285714288,0.0,-1.0
2.5,0.0,0.00129321234119785,40.0,4.44,-0.06666666666666667,0.0,-1.0
2.5,0.0,0.00129321234119785,5.0,13.33,-0.9999999999999999,0.0,-1.0
2.5,0.0,0.00129321234119785,10.0,13.33,-0.33333333333333337,0.0,-1.0
2.5,0.0,0.00129321234119785,20.0,13.33,-0.14285714285714288,0.0,-1.0
