Fraction of virtual supplementations with L1 and L2 > 0.0,Fraction of virtual supplementations with L1 and L2 > 0.02,Fraction of virtual supplementations with L1 and L2 > 0.04,Fraction of virtual supplementations with L1 and L2 > 0.06,Fraction of virtual supplementations with L1 and L2 > 0.08,Fraction of virtual supplementations with L1 and L2 > 0.1,Fraction of virtual supplementations with L1 and L2 > 0.12,Fraction of virtual supplementations with L1 and L2 > 0.14,Fraction of virtual supplementations with L1 and L2 > 0.16,Fraction of virtual supplementations with L1 and L2 > 0.18,Fraction of virtual supplementations with L1 and L2 > 0.2
0.544069640914037,0.24809575625680086,0.14689880304678998,0.08161044613710555,0.04352557127312296,0.035908596300326445,0.03373231773667029,0.02720348204570185,0.026115342763873776,0.017410228509249184,0.01632208922742111
0.583011583011583,0.25997425997426,0.1274131274131274,0.10296010296010295,0.07850707850707851,0.0682110682110682,0.05662805662805663,0.039897039897039896,0.036036036036036036,0.02445302445302445,0.014157014157014158
0.5243179122182681,0.2147093712930012,0.1269276393831554,0.07947805456702253,0.0711743772241993,0.04863582443653618,0.028469750889679714,0.028469750889679714,0.027283511269276393,0.02491103202846975,0.022538552787663108
0.505166475315729,0.19058553386911595,0.11021814006888633,0.08495981630309989,0.06314580941446613,0.04936854190585534,0.04362801377726751,0.03559127439724455,0.02525832376578645,0.01951779563719862,0.011481056257175661
0.6393244873341375,0.20868516284680338,0.1471652593486128,0.06031363088057901,0.04342581423401689,0.033775633293124246,0.027744270205066344,0.018094089264173704,0.013268998793727383,0.010856453558504222,0.010856453558504222
0.5309090909090909,0.1709090909090909,0.1006060606060606,0.06909090909090909,0.044848484848484846,0.02666666666666667,0.02303030303030303,0.012121212121212121,0.01090909090909091,0.01090909090909091,0.01090909090909091
0.5501551189245087,0.2378490175801448,0.14788004136504654,0.11065149948293691,0.07238883143743537,0.05170630816959669,0.047569803516028956,0.045501551189245086,0.045501551189245086,0.045501551189245086,0.03412616339193381
0.5095828635851184,0.23675310033821872,0.12965050732807215,0.07102593010146561,0.05749718151071026,0.038331454340473504,0.03720405862457723,0.02705749718151071,0.02367531003382187,0.02254791431792559,0.016910935738444193
0.49504950495049505,0.2002200220022002,0.11551155115511551,0.0671067106710671,0.050605060506050605,0.041804180418041806,0.034103410341034104,0.0187018701870187,0.0176017601760176,0.0165016501650165,0.0033003300330033004
0.3812807881773399,0.15960591133004925,0.07783251231527094,0.059113300492610835,0.03251231527093596,0.019704433497536946,0.017733990147783252,0.017733990147783252,0.015763546798029555,0.009852216748768473,0.0049261083743842365
0.44593202883625127,0.19052523171987643,0.10092687950566426,0.07106076210092688,0.037075180226570546,0.027806385169927908,0.017507723995880537,0.003089598352214212,0.003089598352214212,0.003089598352214212,0.003089598352214212
0.5305895439377085,0.19911012235817574,0.11568409343715239,0.07119021134593993,0.058954393770856504,0.04560622914349277,0.03337041156840934,0.027808676307007785,0.02335928809788654,0.014460511679644048,0.013348164627363738
0.40668824163969797,0.16073354908306364,0.08306364617044229,0.06580366774541532,0.039913700107874865,0.023732470334412083,0.019417475728155338,0.011866235167206042,0.003236245954692557,0.003236245954692557,0.002157497303128371
0.522439585730725,0.2140391254315305,0.1277330264672037,0.06444188722669736,0.04948216340621404,0.0333716915995397,0.020713463751438434,0.01611047180667434,0.010356731875719217,0.0023014959723820483,0.0011507479861910242
0.5440613026819924,0.210727969348659,0.1277139208173691,0.06641123882503193,0.05108556832694764,0.02937420178799489,0.008939974457215836,0.006385696040868455,0.001277139208173691,0.001277139208173691,0.001277139208173691
0.5684340320591862,0.2120838471023428,0.10850801479654747,0.06288532675709001,0.05055487053020962,0.029593094944512947,0.02096177558569667,0.014796547472256474,0.013563501849568433,0.008631319358816275,0.004932182490752158
0.5824682814302191,0.22837370242214533,0.13494809688581316,0.08304498269896193,0.06113033448673587,0.058823529411764705,0.040369088811995385,0.03806228373702422,0.01845444059976932,0.01845444059976932,0.01845444059976932
0.5097813578826237,0.23475258918296893,0.1622554660529344,0.08860759493670886,0.07019562715765247,0.04833141542002301,0.028768699654775604,0.023014959723820484,0.019562715765247412,0.018411967779056387,0.01726121979286536
0.5030450669914738,0.19123020706455543,0.12058465286236297,0.0730816077953715,0.05602923264311815,0.048721071863580996,0.03532277710109622,0.0341047503045067,0.02192448233861145,0.02192448233861145,0.014616321559074299
0.5232163080407701,0.22083805209513024,0.13590033975084936,0.0928652321630804,0.072480181200453,0.052095130237825596,0.04983012457531144,0.03737259343148358,0.028312570781426953,0.02378255945639864,0.015855039637599093
0.4505723204994797,0.1914672216441207,0.10093652445369407,0.06867845993756504,0.03954214360041623,0.030176899063475548,0.018730489073881373,0.009365244536940686,0.008324661810613945,0.007284079084287201,0.007284079084287201
0.5294117647058824,0.22145328719723184,0.12687427912341406,0.07612456747404844,0.06228373702422145,0.05074971164936563,0.0265282583621684,0.0265282583621684,0.02191464821222607,0.011534025374855825,0.010380622837370242
0.4778856526429342,0.17691477885652643,0.12189859762675297,0.08737864077669903,0.04422869471413161,0.030204962243797196,0.022653721682847898,0.012944983818770227,0.010787486515641856,0.007551240560949299,0.006472491909385114
0.4068157614483493,0.19169329073482427,0.11182108626198083,0.07880724174653887,0.06389776357827476,0.054313099041533544,0.0308839190628328,0.025559105431309903,0.023429179978700747,0.021299254526091587,0.01597444089456869
0.4265809217577706,0.2057877813504823,0.10503751339764202,0.05680600214362272,0.04072883172561629,0.023579849946409433,0.010718113612004287,0.006430868167202572,0.006430868167202572,0.0053590568060021436,0.003215434083601286
0.5161676646706587,0.20479041916167665,0.12934131736526946,0.07904191616766468,0.0562874251497006,0.023952095808383235,0.017964071856287425,0.01437125748502994,0.01437125748502994,0.013173652694610778,0.013173652694610778
0.5167630057803468,0.22658959537572254,0.12369942196531791,0.10404624277456648,0.055491329479768786,0.04508670520231214,0.026589595375722544,0.020809248554913295,0.010404624277456647,0.0011560693641618498,0.0011560693641618498
0.5606936416184971,0.1907514450867052,0.10867052023121387,0.06473988439306358,0.055491329479768786,0.047398843930635835,0.04393063583815029,0.03352601156069364,0.016184971098265895,0.013872832369942197,0.010404624277456647
0.6004645760743321,0.29036004645760743,0.15911730545876887,0.11033681765389082,0.07200929152148665,0.04529616724738676,0.026713124274099883,0.020905923344947737,0.019744483159117306,0.016260162601626018,0.015098722415795587
0.5370165745856353,0.18232044198895028,0.11602209944751381,0.07845303867403315,0.055248618784530384,0.04088397790055249,0.026519337016574586,0.020994475138121547,0.019889502762430938,0.019889502762430938,0.017679558011049725
0.650314465408805,0.2679245283018868,0.15723270440251572,0.11446540880503145,0.07044025157232704,0.05660377358490566,0.026415094339622643,0.025157232704402517,0.021383647798742137,0.018867924528301886,0.01761006289308176
0.5163472378804961,0.21307779030439683,0.13528748590755355,0.08568207440811725,0.060879368658399095,0.05073280721533258,0.03494926719278467,0.02705749718151071,0.020293122886133032,0.019165727170236752,0.018038331454340473
0.47157190635451507,0.17614269788182832,0.11482720178372352,0.09253065774804906,0.06911928651059086,0.044593088071348944,0.03678929765886288,0.016722408026755852,0.010033444816053512,0.004459308807134894,0.004459308807134894
0.46094609460946095,0.16611661166116612,0.08360836083608361,0.05720572057205721,0.0429042904290429,0.039603960396039604,0.020902090209020903,0.0121012101210121,0.009900990099009901,0.006600660066006601,0.0
0.4486772486772487,0.19576719576719576,0.1343915343915344,0.08253968253968254,0.05714285714285714,0.0328042328042328,0.025396825396825397,0.02328042328042328,0.021164021164021163,0.016931216931216932,0.016931216931216932
0.5389082462253194,0.1951219512195122,0.13008130081300814,0.07781649245063879,0.06039488966318235,0.0429732868757259,0.03832752613240418,0.03716608594657375,0.029036004645760744,0.018583042973286876,0.010452961672473868
0.3947623666343356,0.14161008729388944,0.09020368574199807,0.061105722599418044,0.041707080504364696,0.029097963142580018,0.02230843840931135,0.020368574199806012,0.019398642095053348,0.016488845780795344,0.016488845780795344
0.5468577728776185,0.19294377067254687,0.11025358324145534,0.0804851157662624,0.044101433296582136,0.037486218302094816,0.024255788313120176,0.020948180815876516,0.020948180815876516,0.016538037486218304,0.015435501653803748
0.6242350061199511,0.2668298653610771,0.1419828641370869,0.09179926560587515,0.07588739290085679,0.051407588739290085,0.0416156670746634,0.0416156670746634,0.03671970624235006,0.03427172582619339,0.01346389228886169
0.5712656784492588,0.24857468643101482,0.12998859749144812,0.08323831242873432,0.06271379703534778,0.04218928164196123,0.039908779931584946,0.029646522234891677,0.027366020524515394,0.01596351197263398,0.011402508551881414
0.5694267515923567,0.2624203821656051,0.1464968152866242,0.11337579617834395,0.09044585987261146,0.07388535031847134,0.05477707006369427,0.04713375796178344,0.035668789808917196,0.035668789808917196,0.02802547770700637
0.4973544973544973,0.2571428571428571,0.14179894179894179,0.10264550264550265,0.06666666666666667,0.044444444444444446,0.03597883597883598,0.0328042328042328,0.02857142857142857,0.015873015873015872,0.015873015873015872
0.49513513513513513,0.1989189189189189,0.10702702702702703,0.06378378378378378,0.046486486486486484,0.02918918918918919,0.01945945945945946,0.004324324324324324,0.004324324324324324,0.003243243243243243,0.003243243243243243
0.5239687848383501,0.2040133779264214,0.11705685618729098,0.0713489409141583,0.042363433667781496,0.0379041248606466,0.022296544035674472,0.014492753623188406,0.012263099219620958,0.011148272017837236,0.011148272017837236
0.5594002306805075,0.22491349480968859,0.11303344867358708,0.07727797001153403,0.06113033448673587,0.05190311418685121,0.04728950403690888,0.03575547866205306,0.03460207612456748,0.02191464821222607,0.012687427912341407
0.49729144095341277,0.19176598049837487,0.11484290357529794,0.0780065005417118,0.0628385698808234,0.050920910075839654,0.0390032502708559,0.03358613217768147,0.0314192849404117,0.023835319609967497,0.023835319609967497
0.5447338618346546,0.23669309173272934,0.1755379388448471,0.11891279728199321,0.09399773499433749,0.07927519818799547,0.07134767836919592,0.0622876557191393,0.052095130237825596,0.044167610419026046,0.03737259343148358
0.5168661588683352,0.2252448313384113,0.11534276387377584,0.06855277475516866,0.055495103373231776,0.03482045701849837,0.031556039173014146,0.030467899891186073,0.025027203482045703,0.018498367791077257,0.017410228509249184
0.52026286966046,0.20700985761226726,0.11391018619934283,0.07119386637458927,0.04600219058050383,0.029572836801752465,0.027382256297918947,0.018619934282584884,0.017524644030668127,0.01642935377875137,0.01533406352683461
0.44963655244029077,0.1952232606438214,0.10176531671858775,0.06230529595015576,0.04153686396677051,0.032191069574247146,0.029075804776739357,0.01557632398753894,0.013499480789200415,0.013499480789200415,0.007268951194184839
0.6233292831105711,0.2648845686512758,0.1336573511543135,0.10085054678007291,0.07654921020656136,0.054678007290400975,0.040097205346294046,0.038882138517618466,0.026731470230862697,0.023086269744835967,0.023086269744835967
0.5161676646706587,0.18562874251497005,0.118562874251497,0.081437125748503,0.06227544910179641,0.041916167664670656,0.03952095808383234,0.032335329341317366,0.017964071856287425,0.015568862275449102,0.01437125748502994
0.5774647887323944,0.3047375160051216,0.16517285531370038,0.13060179257362356,0.10499359795134443,0.06914212548015365,0.058898847631242,0.04737516005121639,0.04353393085787452,0.029449423815621,0.028169014084507043
0.5579631635969664,0.23401950162513543,0.14734561213434452,0.0790899241603467,0.06175514626218852,0.04983748645720477,0.04875406283856988,0.04550379198266522,0.044420368364030335,0.041170097508125676,0.04008667388949079
0.5751479289940828,0.23905325443786982,0.11005917159763313,0.07218934911242604,0.05917159763313609,0.04970414201183432,0.0485207100591716,0.0485207100591716,0.036686390532544376,0.02603550295857988,0.023668639053254437
0.4355362946912243,0.18418201516793067,0.09425785482123511,0.059588299024918745,0.04008667388949079,0.027085590465872156,0.01733477789815818,0.011917659804983749,0.010834236186348862,0.00866738894907909,0.00866738894907909
0.5330243337195828,0.20393974507531865,0.11935110081112399,0.0660486674391657,0.04171494785631518,0.03244495944380069,0.01853997682502897,0.013904982618771726,0.013904982618771726,0.012746234067207415,0.010428736964078795
0.5101796407185629,0.20958083832335328,0.11497005988023952,0.08023952095808383,0.041916167664670656,0.02874251497005988,0.02035928143712575,0.017964071856287425,0.013173652694610778,0.013173652694610778,0.011976047904191617
0.5127161749745677,0.1871820956256358,0.1271617497456765,0.07731434384537131,0.05391658189216684,0.03763987792472025,0.021363173957273652,0.017293997965412006,0.011190233977619531,0.011190233977619531,0.009155645981688708
0.500544069640914,0.20239390642002175,0.11534276387377584,0.07290533188248095,0.04896626768226333,0.042437431991294884,0.03264417845484222,0.030467899891186073,0.01958650707290533,0.01958650707290533,0.01088139281828074
0.5580838323353293,0.22035928143712574,0.11616766467065869,0.0658682634730539,0.05149700598802395,0.03473053892215569,0.023952095808383235,0.02035928143712575,0.02035928143712575,0.009580838323353293,0.0011976047904191617
0.6035131744040151,0.2559598494353827,0.14429109159347553,0.10414052697616061,0.06900878293601004,0.05520702634880803,0.04893350062735257,0.03638644918444166,0.03136762860727729,0.03136762860727729,0.027603513174404015
0.4869466515323496,0.18955732122587968,0.11237230419977298,0.06242905788876277,0.053348467650397274,0.03064699205448354,0.021566401816118047,0.015891032917139614,0.004540295119182747,0.0011350737797956867,0.0
0.5804274465691789,0.2688413948256468,0.12935883014623173,0.06299212598425197,0.03712035995500562,0.023622047244094488,0.012373453318335208,0.007874015748031496,0.0044994375703037125,0.0022497187851518562,0.0022497187851518562
0.5283474065138721,0.22195416164053075,0.16164053075995174,0.08323281061519903,0.07117008443908324,0.04945717732207479,0.027744270205066344,0.024125452352231604,0.020506634499396863,0.016887816646562123,0.016887816646562123
0.4814422057264051,0.17815482502651114,0.0911983032873807,0.05832449628844114,0.04029692470837752,0.027571580063626724,0.022269353128313893,0.02014846235418876,0.018027571580063628,0.016967126193001062,0.010604453870625663
0.5669383003492433,0.26658905704307334,0.13154831199068684,0.0919674039580908,0.0710128055878929,0.05238649592549476,0.033760186263096625,0.030267753201396973,0.025611175785797437,0.025611175785797437,0.017462165308498253
0.4494142705005325,0.19701810436634717,0.11501597444089456,0.0724174653887114,0.039403620873269436,0.025559105431309903,0.01810436634717785,0.013844515441959531,0.011714589989350373,0.010649627263045794,0.010649627263045794
0.5333333333333333,0.24654088050314465,0.12452830188679245,0.0830188679245283,0.04025157232704402,0.026415094339622643,0.02389937106918239,0.02012578616352201,0.013836477987421384,0.0037735849056603774,0.0037735849056603774
0.44107744107744107,0.19304152637485972,0.10213243546576879,0.06172839506172839,0.04377104377104377,0.03367003367003367,0.017957351290684626,0.013468013468013467,0.012345679012345678,0.012345679012345678,0.012345679012345678
0.45757250268528465,0.1836734693877551,0.09237379162191192,0.07303974221267455,0.050483351235230935,0.04403866809881848,0.03544575725026853,0.02577873254564984,0.013963480128893663,0.011815252416756176,0.0010741138560687433
0.5078369905956113,0.2330198537095089,0.14106583072100312,0.0794148380355277,0.05956112852664577,0.04806687565308255,0.03343782654127482,0.03134796238244514,0.02612330198537095,0.02612330198537095,0.0219435736677116
0.48633879781420764,0.20437158469945355,0.11912568306010929,0.07868852459016394,0.06666666666666667,0.05245901639344262,0.04262295081967213,0.040437158469945354,0.03169398907103825,0.02185792349726776,0.018579234972677595
0.5287730727470141,0.25732899022801303,0.1444082519001086,0.10532030401737243,0.08794788273615635,0.07166123778501629,0.053203040173724216,0.053203040173724216,0.04125950054288816,0.035830618892508145,0.02062975027144408
0.6347305389221557,0.27305389221556886,0.20239520958083831,0.11137724550898204,0.0658682634730539,0.05149700598802395,0.03592814371257485,0.031137724550898204,0.02155688622754491,0.017964071856287425,0.017964071856287425
0.4982857142857143,0.2102857142857143,0.13257142857142856,0.09257142857142857,0.060571428571428575,0.05028571428571429,0.037714285714285714,0.03314285714285714,0.030857142857142857,0.025142857142857144,0.025142857142857144
0.534698521046644,0.22525597269624573,0.1353811149032992,0.10693970420932879,0.09215017064846416,0.06484641638225255,0.06143344709897611,0.04550625711035267,0.038680318543799774,0.027303754266211604,0.019340159271899887
0.6150289017341041,0.23930635838150288,0.13988439306358383,0.08670520231213873,0.055491329479768786,0.035838150289017344,0.023121387283236993,0.020809248554913295,0.009248554913294798,0.009248554913294798,0.009248554913294798
0.3913913913913914,0.15015015015015015,0.08508508508508508,0.05205205205205205,0.04004004004004004,0.03303303303303303,0.022022022022022022,0.022022022022022022,0.02002002002002002,0.016016016016016016,0.009009009009009009
0.5554231227651967,0.2729439809296782,0.16924910607866508,0.12872467222884387,0.09535160905840286,0.05959475566150179,0.04648390941597139,0.04410011918951132,0.027413587604290822,0.021454112038140644,0.017878426698450536
0.4722513089005236,0.1968586387434555,0.11204188481675392,0.08272251308900523,0.061780104712041886,0.04607329842931937,0.033507853403141365,0.02931937172774869,0.02931937172774869,0.028272251308900525,0.027225130890052355
0.5500550055005501,0.24422442244224424,0.1342134213421342,0.0847084708470847,0.056105610561056105,0.05500550055005501,0.0319031903190319,0.0231023102310231,0.0176017601760176,0.015401540154015401,0.014301430143014302
0.4607329842931937,0.20104712041884817,0.12041884816753927,0.0712041884816754,0.04293193717277487,0.03455497382198953,0.02931937172774869,0.010471204188481676,0.010471204188481676,0.010471204188481676,0.010471204188481676
0.6070975918884665,0.2370088719898606,0.15335868187579213,0.06844106463878327,0.06337135614702155,0.036755386565272496,0.029150823827629912,0.025348542458808618,0.021546261089987327,0.020278833967046894,0.020278833967046894
0.5709090909090909,0.22787878787878788,0.13333333333333333,0.09333333333333334,0.0703030303030303,0.03878787878787879,0.02303030303030303,0.020606060606060607,0.019393939393939394,0.01696969696969697,0.01696969696969697
0.5758980301274623,0.2410196987253766,0.10776361529548088,0.06952491309385864,0.03476245654692932,0.026651216685979143,0.02549246813441483,0.023174971031286212,0.015063731170336037,0.015063731170336037,0.011587485515643106
0.5401129943502825,0.17175141242937852,0.10056497175141244,0.08248587570621468,0.04858757062146893,0.0327683615819209,0.024858757062146894,0.006779661016949152,0.005649717514124294,0.004519774011299435,0.003389830508474576
0.6226175349428208,0.25285895806861497,0.15374841168996187,0.09529860228716645,0.06861499364675985,0.05972045743329098,0.053367217280813214,0.04066073697585769,0.03176620076238882,0.025412960609911054,0.025412960609911054
0.5005714285714286,0.24914285714285714,0.12114285714285715,0.072,0.05942857142857143,0.04114285714285714,0.029714285714285714,0.029714285714285714,0.027428571428571427,0.017142857142857144,0.009142857142857144
0.4807480748074808,0.21782178217821782,0.12211221122112212,0.06930693069306931,0.050605060506050605,0.0352035203520352,0.0352035203520352,0.025302530253025302,0.022002200220022004,0.013201320132013201,0.0121012101210121
0.5722964763061968,0.2660996354799514,0.16646415552855406,0.11907654921020656,0.06318347509113001,0.041312272174969626,0.03645200486026731,0.032806804374240585,0.032806804374240585,0.024301336573511544,0.00850546780072904
0.5746714456391876,0.23178016726403824,0.12783751493428913,0.06571087216248507,0.054958183990442055,0.02867383512544803,0.015531660692951015,0.014336917562724014,0.013142174432497013,0.007168458781362007,0.007168458781362007
0.48667439165701043,0.1993047508690614,0.09269988412514485,0.04982618771726535,0.03707995365005794,0.019698725376593278,0.01853997682502897,0.008111239860950173,0.0011587485515643105,0.0,0.0
0.554601226993865,0.2773006134969325,0.1521472392638037,0.10061349693251534,0.06503067484662577,0.0392638036809816,0.03190184049079755,0.02822085889570552,0.01717791411042945,0.011042944785276074,0.008588957055214725
0.583030303030303,0.2642424242424242,0.1684848484848485,0.11636363636363636,0.08363636363636363,0.048484848484848485,0.044848484848484846,0.02909090909090909,0.02909090909090909,0.027878787878787878,0.025454545454545455
0.4658454647256439,0.19932810750279956,0.10862262038073908,0.0593505039193729,0.05263157894736842,0.048152295632698766,0.04143337066069429,0.036954087346024636,0.025755879059350503,0.022396416573348264,0.02127659574468085
0.5209003215434084,0.2207931404072883,0.11789924973204716,0.0707395498392283,0.05251875669882101,0.03322615219721329,0.02465166130760986,0.023579849946409433,0.01607717041800643,0.004287245444801715,0.003215434083601286
0.48869752421959095,0.15931108719052745,0.10333692142088267,0.06350914962325081,0.04090419806243272,0.03444564047362755,0.02798708288482239,0.02583423035522067,0.0193756727664155,0.0193756727664155,0.012917115177610334
0.49083063646170444,0.2222222222222222,0.13052858683926646,0.0970873786407767,0.07659115426105717,0.06580366774541532,0.04746494066882417,0.037756202804746494,0.02696871628910464,0.016181229773462782,0.016181229773462782
0.5005393743257821,0.20388349514563106,0.12405609492988134,0.104638619201726,0.06256742179072276,0.05177993527508091,0.036677454153182305,0.032362459546925564,0.030204962243797196,0.022653721682847898,0.014023732470334413
0.5587918015102481,0.19741100323624594,0.10679611650485436,0.07659115426105717,0.06580366774541532,0.032362459546925564,0.019417475728155338,0.009708737864077669,0.005393743257820928,0.005393743257820928,0.0
0.4641051567239636,0.1789686552072801,0.13346814964610718,0.08695652173913043,0.046511627906976744,0.044489383215369056,0.03538928210313448,0.022244691607684528,0.017189079878665317,0.011122345803842264,0.011122345803842264
0.45138178096212894,0.1985670419651996,0.11668372569089049,0.08188331627430911,0.044012282497441144,0.037871033776867964,0.033776867963152504,0.032753326509723645,0.019447287615148412,0.019447287615148412,0.01842374616171955
0.46310160427807484,0.20855614973262032,0.13689839572192514,0.08449197860962566,0.07272727272727272,0.05454545454545454,0.04385026737967915,0.038502673796791446,0.02459893048128342,0.01818181818181818,0.013903743315508022
0.5842293906810035,0.2724014336917563,0.15412186379928317,0.0991636798088411,0.05854241338112306,0.037037037037037035,0.025089605734767026,0.021505376344086023,0.017921146953405017,0.016726403823178016,0.015531660692951015
0.49580838323353293,0.23233532934131737,0.118562874251497,0.06946107784431138,0.05748502994011976,0.03832335329341317,0.015568862275449102,0.015568862275449102,0.00718562874251497,0.004790419161676647,0.004790419161676647
0.5374855824682814,0.2029988465974625,0.12226066897347174,0.08765859284890427,0.05651672433679354,0.05190311418685121,0.031141868512110725,0.029988465974625143,0.02768166089965398,0.0196078431372549,0.016147635524798153
