Fraction of virtual supplementations with L1 and L2 > 0.0,Fraction of virtual supplementations with L1 and L2 > 0.02,Fraction of virtual supplementations with L1 and L2 > 0.04,Fraction of virtual supplementations with L1 and L2 > 0.06,Fraction of virtual supplementations with L1 and L2 > 0.08,Fraction of virtual supplementations with L1 and L2 > 0.1,Fraction of virtual supplementations with L1 and L2 > 0.12,Fraction of virtual supplementations with L1 and L2 > 0.14,Fraction of virtual supplementations with L1 and L2 > 0.16,Fraction of virtual supplementations with L1 and L2 > 0.18,Fraction of virtual supplementations with L1 and L2 > 0.2
0.3867713004484305,0.20291479820627803,0.1446188340807175,0.13789237668161436,0.09753363228699552,0.08408071748878924,0.07286995515695067,0.05493273542600897,0.03699551569506727,0.034753363228699555,0.033632286995515695
0.41055341055341055,0.23166023166023167,0.1583011583011583,0.148005148005148,0.13384813384813385,0.1287001287001287,0.10424710424710425,0.10167310167310167,0.09266409266409266,0.09137709137709138,0.08622908622908623
0.3962040332147094,0.17793594306049823,0.1423487544483986,0.1221826809015421,0.09134045077105575,0.08422301304863583,0.066429418742586,0.05693950177935943,0.036773428232502965,0.03558718861209965,0.03440094899169632
0.35266821345707655,0.1751740139211137,0.12877030162412992,0.0962877030162413,0.05916473317865429,0.052204176334106726,0.052204176334106726,0.052204176334106726,0.048723897911832945,0.042923433874709975,0.042923433874709975
0.49095295536791317,0.20989143546441497,0.13027744270205066,0.10253317249698432,0.09167671893848009,0.08202653799758745,0.06272617611580217,0.061519903498190594,0.04945717732207479,0.04825090470446321,0.04825090470446321
0.3602941176470588,0.16666666666666666,0.1053921568627451,0.09558823529411764,0.08088235294117647,0.07475490196078431,0.07230392156862746,0.061274509803921566,0.061274509803921566,0.041666666666666664,0.028186274509803922
0.3297180043383948,0.14533622559652928,0.10954446854663774,0.08134490238611713,0.08134490238611713,0.07809110629067245,0.0737527114967462,0.06724511930585683,0.04229934924078091,0.04229934924078091,0.04229934924078091
0.3968432919954904,0.18038331454340473,0.1386696730552424,0.11273957158962795,0.08793686583990981,0.07553551296505073,0.06538895152198422,0.05411499436302142,0.04284103720405862,0.040586245772266064,0.03156708004509583
0.35753575357535755,0.1562156215621562,0.11551155115511551,0.0847084708470847,0.07150715071507151,0.0539053905390539,0.050605060506050605,0.0352035203520352,0.0352035203520352,0.0297029702970297,0.0297029702970297
0.22758620689655173,0.10837438423645321,0.0748768472906404,0.05812807881773399,0.035467980295566505,0.02857142857142857,0.023645320197044337,0.022660098522167486,0.02167487684729064,0.014778325123152709,0.014778325123152709
0.2924819773429454,0.1462409886714727,0.11946446961894953,0.07723995880535531,0.06591143151390319,0.05252317198764161,0.04737384140061792,0.03913491246138002,0.03604531410916581,0.03604531410916581,0.035015447991761074
0.3742757821552723,0.1657010428736964,0.10081112398609501,0.08227114716106605,0.054461181923522596,0.04982618771726535,0.03476245654692932,0.030127462340672075,0.028968713789107765,0.027809965237543453,0.01853997682502897
0.2621359223300971,0.09385113268608414,0.07766990291262135,0.06040992448759439,0.045307443365695796,0.040992448759439054,0.028047464940668825,0.022653721682847898,0.022653721682847898,0.019417475728155338,0.019417475728155338
0.35558112773302647,0.17031070195627157,0.1001150747986191,0.06904487917146145,0.04948216340621404,0.04833141542002301,0.04487917146144994,0.04487917146144994,0.03567318757192175,0.02761795166858458,0.026467203682393557
0.3895274584929757,0.17369093231162197,0.11494252873563218,0.09961685823754789,0.09195402298850575,0.07279693486590039,0.05874840357598978,0.04342273307790549,0.033205619412515965,0.031928480204342274,0.031928480204342274
0.44266337854500615,0.19852034525277434,0.12083847102342787,0.10850801479654747,0.07644882860665844,0.04315659679408138,0.03945745992601726,0.036991368680641186,0.03329223181257707,0.01972872996300863,0.012330456226880395
0.43080625752105894,0.17569193742478942,0.10589651022864019,0.08664259927797834,0.07581227436823104,0.05174488567990373,0.0421179302045728,0.03369434416365824,0.03369434416365824,0.032490974729241874,0.032490974729241874
0.3565426170468187,0.16326530612244897,0.13445378151260504,0.13085234093637454,0.12004801920768307,0.10684273709483794,0.0936374549819928,0.08283313325330131,0.08283313325330131,0.08163265306122448,0.07322929171668667
