Fraction of virtual supplementations with L1 and L2 > 0.0,Fraction of virtual supplementations with L1 and L2 > 0.02,Fraction of virtual supplementations with L1 and L2 > 0.04,Fraction of virtual supplementations with L1 and L2 > 0.06,Fraction of virtual supplementations with L1 and L2 > 0.08,Fraction of virtual supplementations with L1 and L2 > 0.1,Fraction of virtual supplementations with L1 and L2 > 0.12,Fraction of virtual supplementations with L1 and L2 > 0.14,Fraction of virtual supplementations with L1 and L2 > 0.16,Fraction of virtual supplementations with L1 and L2 > 0.18,Fraction of virtual supplementations with L1 and L2 > 0.2
0.41566920565832427,0.18498367791077258,0.11643090315560392,0.056583242655059846,0.03917301414581066,0.028291621327529923,0.028291621327529923,0.022850924918389554,0.01632208922742111,0.01632208922742111,0.01632208922742111
0.41055341055341055,0.16988416988416988,0.09009009009009009,0.08494208494208494,0.0694980694980695,0.05662805662805663,0.04633204633204633,0.043758043758043756,0.03346203346203346,0.028314028314028315,0.009009009009009009
0.39383155397390274,0.13641755634638197,0.08896797153024912,0.05219454329774614,0.03795966785290629,0.03440094899169632,0.021352313167259787,0.021352313167259787,0.021352313167259787,0.021352313167259787,0.018979833926453145
0.35246842709529275,0.13318025258323765,0.07577497129735936,0.06199770378874857,0.05855338691159587,0.03788748564867968,0.03559127439724455,0.02870264064293915,0.018369690011481057,0.01722158438576349,0.016073478760045924
0.5078407720144753,0.1411338962605549,0.08805790108564536,0.030156815440289506,0.021712907117008445,0.021712907117008445,0.019300361881785282,0.019300361881785282,0.012062726176115802,0.010856453558504222,0.010856453558504222
0.3612121212121212,0.09696969696969697,0.07272727272727272,0.052121212121212124,0.03151515151515152,0.02303030303030303,0.02181818181818182,0.020606060606060607,0.01090909090909091,0.009696969696969697,0.009696969696969697
0.3578076525336091,0.15615305067218202,0.11582213029989659,0.08376421923474664,0.06308169596690796,0.04653567735263702,0.045501551189245086,0.04446742502585315,0.033092037228541885,0.033092037228541885,0.028955532574974147
0.38669673055242393,0.14205186020293123,0.08117249154453213,0.05186020293122886,0.046223224351747465,0.03269447576099211,0.03156708004509583,0.030439684329199548,0.020293122886133032,0.018038331454340473,0.014656144306651634
0.3641364136413641,0.1188118811881188,0.0748074807480748,0.0374037403740374,0.030803080308030802,0.027502750275027504,0.027502750275027504,0.0176017601760176,0.0176017601760176,0.0165016501650165,0.0022002200220022
0.22167487684729065,0.06502463054187192,0.04729064039408867,0.02561576354679803,0.024630541871921183,0.014778325123152709,0.013793103448275862,0.013793103448275862,0.009852216748768473,0.009852216748768473,0.002955665024630542
0.29042224510813597,0.11225540679711637,0.06488156539649846,0.044284243048403706,0.029866117404737384,0.02059732234809475,0.008238928939237899,0.003089598352214212,0.003089598352214212,0.003089598352214212,0.003089598352214212
0.40155728587319245,0.13459399332591768,0.08120133481646273,0.04560622914349277,0.034482758620689655,0.027808676307007785,0.02335928809788654,0.02335928809788654,0.021134593993325918,0.021134593993325918,0.013348164627363738
0.2707659115426106,0.08629989212513485,0.04746494066882417,0.02912621359223301,0.022653721682847898,0.015102481121898598,0.014023732470334413,0.007551240560949299,0.0,0.0,0.0
0.38550057537399307,0.10126582278481013,0.0667433831990794,0.05063291139240506,0.031070195627157654,0.023014959723820484,0.009205983889528193,0.009205983889528193,0.00805523590333717,0.0,0.0
0.4061302681992337,0.11877394636015326,0.07790549169859515,0.04469987228607918,0.031928480204342274,0.017879948914431672,0.0,0.0,0.0,0.0,0.0
0.45129469790382243,0.12330456226880394,0.06658446362515413,0.040690505548705305,0.030826140567200986,0.007398273736128237,0.004932182490752158,0.004932182490752158,0.004932182490752158,0.0036991368680641184,0.0036991368680641184
0.46482122260668973,0.14648212226066898,0.09688581314878893,0.06343713956170703,0.05997693194925029,0.049596309111880045,0.03344867358708189,0.03344867358708189,0.016147635524798153,0.016147635524798153,0.016147635524798153
