Model name,Num parameters,R^2,Akaike weight,Parameter names,Parameter values
liebig_monod,3,0.27163756377219117,6.393475466017126e-84,zmax;c1;c2,0.6047252026192173;79.76876310071665;147.49375247511247
liebig_monod_rmin,5,0.9058318796874663,0.86785094251726,zmax;c1;c2;R1min;R2min,0.6621960379415636;19.819510979763148;87.30571957659389;0.025788382573553276;0.003375531659816864
liebig_hill,5,0.34021497795430367,4.131262785050037e-81,zmax;c1;c2;n1;n2,0.7481372369912158;52.517497636998726;115.79593062912106;0.4159893162872512;0.6128435512998885
liebig_hill_rmin,7,0.9064944279322958,0.09452020149423956,zmax;c1;c2;n1;n2;R1min;R2min,0.6481461397605361;13.748902652074152;80.52067505425198;1.3482926020318715;1.1246302351835398;0.04072296789338513;0.004027576846250701
liebig_blackman,3,-0.1023935583924247,5.0906113175935495e-101,zmax;c1;c2,0.5677603942948993;20.696140295790432;41.77350885684133
liebig_blackman_rmin,5,0.8232321748733955,9.036703279028898e-27,zmax;c1;c2;R1min;R2min,0.6234020636704253;2.014921061109451;4.248159257744847;0.1526890565064118;0.0889024069095573
liebig_bertalanffy,3,0.16433765576812365,1.367175187194531e-89,zmax;c1;c2,0.5586654416281461;81.57902778817048;109.90343728809503
liebig_bertalanffy_rmin,5,0.8990197819204786,0.0011399003371021957,zmax;c1;c2;R1min;R2min,0.6148455288374117;12.14397633078759;58.7071694704229;0.04831665794828993;0.006415415329314217
multiplicative_monod,3,0.2738894469876457,8.58009638705723e-84,zmax;c1;c2,0.6058097909143669;100.84765917170718;170.2088771230699
multiplicative_monod_rmin,5,0.8809830588451115,1.8900847554115852e-10,zmax;c1;c2;R1min;R2min,0.6451375104772562;31.820452123075636;122.5200699393526;0.018614808143071104;0.00555876642921092
multiplicative_hill,5,0.31243140818212045,8.209050945930782e-83,zmax;c1;c2;n1;n2,0.6756330773239315;109.61798745535717;189.84521963969604;0.5118347645875567;0.9712396957863209
multiplicative_hill_rmin,7,0.8838546494316679,1.0713036066028896e-10,zmax;c1;c2;n1;n2;R1min;R2min,0.6220896560317687;13.73863736027996;66.56802199420132;1.8150444903985683;1.41456934194608;0.045326629578645306;0.010113473529760515
multiplicative_blackman,3,-0.12059188685971134,1.0745911925646539e-101,zmax;c1;c2,0.5652691179859544;20.765900990631568;43.5071039253819
multiplicative_blackman_rmin,5,0.8291444280275682,2.288478601630797e-25,zmax;c1;c2;R1min;R2min,0.6111517801217344;1.7170859508809533;3.4575187972397288;0.20162583087391567;0.12109494045925272
multiplicative_bertalanffy,3,0.16218610394210753,1.0708660591302486e-89,zmax;c1;c2,0.555178526668781;89.83519802738613;115.46677285243643
multiplicative_bertalanffy_rmin,5,0.8788042832217352,3.373067184891199e-11,zmax;c1;c2;R1min;R2min,0.6048889963895117;15.706386681270878;45.709643230675084;0.03998806701856327;0.015959265007208904
pat,3,0.27887849533775055,1.651774792855368e-83,zmax;c1;c2,0.6090503539942301;84.15947169372083;140.7620496050813
pat_rmin,5,0.9026354950520001,0.0364127170971701,zmax;c1;c2;R1min;R2min,0.6620882425416704;22.919917600731985;90.06780562320128;0.0226023791677528;0.0038555313563227354
additive,3,0.28154034784032855,2.3470743090536406e-83,zmax;c1;c2,0.6118226157493881;92.81296964681152;151.97006686439295
additive_rmin,5,0.8919198565876477,1.7924791853976927e-06,zmax;c1;c2;R1min;R2min,0.6572347907224404;28.25240251095309;109.14134622817315;0.01939953050844355;0.004173386276779019
mankad_bungay,3,0.26721486101113,3.597255111428164e-84,zmax;c1;c2,0.605022084535692;72.61807173395361;128.37104383071602
mankad_bungay_rmin,5,0.8934948232896139,7.2293232933799155e-06,zmax;c1;c2;R1min;R2min,0.6587340567170092;18.77342376878496;76.54059517684861;0.023875015991254047;0.002982517385270297
generalized_additive,4,0.3119352389692729,3.291414711988611e-82,zmax;c1;c2;q,0.7043258091381082;475.9378800381178;1388.0244664648455;0.5249362767482327
generalized_additive_rmin,6,0.8975396851841128,6.721642187977326e-05,zmax;c1;c2;q;R1min;R2min,0.6280491984029564;8.905860744740158;35.046903217970105;1.8404291624268776;0.0395041448923153;0.00795128111973306
saito_sub,3,0.5094719831112164,1.3052407642987226e-67,zmax;c1;c2,0.5544698331849949;53.25104537004921;2.4979448980051355
saito_sub_rmin,5,0.7260393199185794,7.567168470146008e-45,zmax;c1;c2;R1min;R2min,0.5911759999255951;25.117750440258455;0.3773002039269723;0.00814714682818109;0.5583604973089393
mean_monod_sub,3,0.8208676109649549,4.7556740520377295e-26,zmax;c1;c2,0.6169224975869246;22.611453218329817;95.84621713363958
mean_monod_sub_rmin,5,0.857946615807117,9.47142350478862e-18,zmax;c1;c2;R1min;R2min,0.626842334919269;17.04979543136466;75.6133991101546;0.0015455734273225519;0.004446430123933957
chem_depend,3,0.17683215738679725,5.719468230742245e-89,zmax;c1;c2,0.5575080917498461;110.49716916248619;85.91801212186301
chem_depend_rmin,5,0.788301031028899,3.2812189635225376e-34,zmax;c1;c2;R1min;R2min,0.5899808622175797;32.286625029669395;78.54417780424859;0.0200700374196632;0.0028324681296186213
