Glucose (mM),Ammonium (mM),Growth rate (per hour) bootstrap 1,Growth rate (per hour) bootstrap 2,Growth rate (per hour) bootstrap 3,Growth rate (per hour) bootstrap 4,Growth rate (per hour) bootstrap 5,Growth rate (per hour) bootstrap 6,Growth rate (per hour) bootstrap 7,Growth rate (per hour) bootstrap 8,Growth rate (per hour) bootstrap 9,Growth rate (per hour) bootstrap 10,Growth rate (per hour) bootstrap 11,Growth rate (per hour) bootstrap 12,Growth rate (per hour) bootstrap 13,Growth rate (per hour) bootstrap 14,Growth rate (per hour) bootstrap 15,Growth rate (per hour) bootstrap 16,Growth rate (per hour) bootstrap 17,Growth rate (per hour) bootstrap 18,Growth rate (per hour) bootstrap 19,Growth rate (per hour) bootstrap 20,Growth rate (per hour) bootstrap 21,Growth rate (per hour) bootstrap 22,Growth rate (per hour) bootstrap 23,Growth rate (per hour) bootstrap 24,Growth rate (per hour) bootstrap 25,Growth rate (per hour) bootstrap 26,Growth rate (per hour) bootstrap 27,Growth rate (per hour) bootstrap 28,Growth rate (per hour) bootstrap 29,Growth rate (per hour) bootstrap 30,Growth rate (per hour) bootstrap 31,Growth rate (per hour) bootstrap 32,Growth rate (per hour) bootstrap 33,Growth rate (per hour) bootstrap 34,Growth rate (per hour) bootstrap 35,Growth rate (per hour) bootstrap 36,Growth rate (per hour) bootstrap 37,Growth rate (per hour) bootstrap 38,Growth rate (per hour) bootstrap 39,Growth rate (per hour) bootstrap 40,Growth rate (per hour) bootstrap 41,Growth rate (per hour) bootstrap 42,Growth rate (per hour) bootstrap 43,Growth rate (per hour) bootstrap 44,Growth rate (per hour) bootstrap 45,Growth rate (per hour) bootstrap 46,Growth rate (per hour) bootstrap 47,Growth rate (per hour) bootstrap 48,Growth rate (per hour) bootstrap 49,Growth rate (per hour) bootstrap 50,Growth rate (per hour) bootstrap 51,Growth rate (per hour) bootstrap 52,Growth rate (per hour) bootstrap 53,Growth rate (per hour) bootstrap 54,Growth rate (per hour) bootstrap 55,Growth rate (per hour) bootstrap 56,Growth rate (per hour) bootstrap 57,Growth rate (per hour) bootstrap 58,Growth rate (per hour) bootstrap 59,Growth rate (per hour) bootstrap 60,Growth rate (per hour) bootstrap 61,Growth rate (per hour) bootstrap 62,Growth rate (per hour) bootstrap 63,Growth rate (per hour) bootstrap 64,Growth rate (per hour) bootstrap 65,Growth rate (per hour) bootstrap 66,Growth rate (per hour) bootstrap 67,Growth rate (per hour) bootstrap 68,Growth rate (per hour) bootstrap 69,Growth rate (per hour) bootstrap 70,Growth rate (per hour) bootstrap 71,Growth rate (per hour) bootstrap 72,Growth rate (per hour) bootstrap 73,Growth rate (per hour) bootstrap 74,Growth rate (per hour) bootstrap 75,Growth rate (per hour) bootstrap 76,Growth rate (per hour) bootstrap 77,Growth rate (per hour) bootstrap 78,Growth rate (per hour) bootstrap 79,Growth rate (per hour) bootstrap 80,Growth rate (per hour) bootstrap 81,Growth rate (per hour) bootstrap 82,Growth rate (per hour) bootstrap 83,Growth rate (per hour) bootstrap 84,Growth rate (per hour) bootstrap 85,Growth rate (per hour) bootstrap 86,Growth rate (per hour) bootstrap 87,Growth rate (per hour) bootstrap 88,Growth rate (per hour) bootstrap 89,Growth rate (per hour) bootstrap 90,Growth rate (per hour) bootstrap 91,Growth rate (per hour) bootstrap 92,Growth rate (per hour) bootstrap 93,Growth rate (per hour) bootstrap 94,Growth rate (per hour) bootstrap 95,Growth rate (per hour) bootstrap 96,Growth rate (per hour) bootstrap 97,Growth rate (per hour) bootstrap 98,Growth rate (per hour) bootstrap 99,Growth rate (per hour) bootstrap 100
0.005,0.01,0.302855115276725,0.302855115276725,0.279783307242429,0.302855115276725,0.302855115276725,0.302855115276725,0.279783307242429,0.302855115276725,0.228629164399387,0.228629164399387,0.279783307242429,0.279783307242429,0.279783307242429,0.279783307242429,0.228629164399387,0.228629164399387,0.302855115276725,0.279783307242429,0.302855115276725,0.279783307242429,0.228629164399387,0.302855115276725,0.228629164399387,0.302855115276725,0.228629164399387,0.228629164399387,0.279783307242429,0.228629164399387,0.302855115276725,0.279783307242429,0.279783307242429,0.302855115276725,0.279783307242429,0.279783307242429,0.302855115276725,0.302855115276725,0.279783307242429,0.302855115276725,0.228629164399387,0.279783307242429,0.228629164399387,0.228629164399387,0.279783307242429,0.302855115276725,0.302855115276725,0.279783307242429,0.228629164399387,0.228629164399387,0.279783307242429,0.228629164399387,0.279783307242429,0.228629164399387,0.228629164399387,0.228629164399387,0.228629164399387,0.228629164399387,0.302855115276725,0.228629164399387,0.302855115276725,0.279783307242429,0.228629164399387,0.228629164399387,0.228629164399387,0.302855115276725,0.228629164399387,0.302855115276725,0.302855115276725,0.279783307242429,0.279783307242429,0.279783307242429,0.302855115276725,0.279783307242429,0.302855115276725,0.279783307242429,0.228629164399387,0.279783307242429,0.279783307242429,0.228629164399387,0.279783307242429,0.302855115276725,0.302855115276725,0.228629164399387,0.302855115276725,0.279783307242429,0.279783307242429,0.228629164399387,0.302855115276725,0.302855115276725,0.302855115276725,0.228629164399387,0.302855115276725,0.228629164399387,0.279783307242429,0.302855115276725,0.279783307242429,0.228629164399387,0.228629164399387,0.279783307242429,0.228629164399387,0.279783307242429
0.01,0.01,0.253261828865695,0.253261828865695,0.315003672982336,0.253261828865695,0.253261828865695,0.334064574071237,0.253261828865695,0.315003672982336,0.315003672982336,0.334064574071237,0.334064574071237,0.334064574071237,0.315003672982336,0.253261828865695,0.315003672982336,0.334064574071237,0.253261828865695,0.334064574071237,0.253261828865695,0.315003672982336,0.334064574071237,0.253261828865695,0.315003672982336,0.315003672982336,0.253261828865695,0.315003672982336,0.253261828865695,0.315003672982336,0.315003672982336,0.334064574071237,0.253261828865695,0.315003672982336,0.334064574071237,0.253261828865695,0.334064574071237,0.253261828865695,0.334064574071237,0.334064574071237,0.315003672982336,0.315003672982336,0.315003672982336,0.315003672982336,0.315003672982336,0.315003672982336,0.334064574071237,0.253261828865695,0.334064574071237,0.315003672982336,0.253261828865695,0.315003672982336,0.334064574071237,0.315003672982336,0.253261828865695,0.334064574071237,0.334064574071237,0.315003672982336,0.334064574071237,0.253261828865695,0.315003672982336,0.334064574071237,0.315003672982336,0.253261828865695,0.334064574071237,0.334064574071237,0.253261828865695,0.315003672982336,0.253261828865695,0.334064574071237,0.315003672982336,0.315003672982336,0.315003672982336,0.253261828865695,0.253261828865695,0.315003672982336,0.253261828865695,0.253261828865695,0.334064574071237,0.253261828865695,0.253261828865695,0.253261828865695,0.315003672982336,0.253261828865695,0.253261828865695,0.253261828865695,0.253261828865695,0.334064574071237,0.334064574071237,0.334064574071237,0.253261828865695,0.315003672982336,0.253261828865695,0.253261828865695,0.315003672982336,0.315003672982336,0.315003672982336,0.334064574071237,0.334064574071237,0.315003672982336,0.334064574071237,0.315003672982336
0.025,0.01,0.430422448668345,0.332586526299258,0.469461987250382,0.430422448668345,0.469461987250382,0.430422448668345,0.430422448668345,0.469461987250382,0.332586526299258,0.469461987250382,0.469461987250382,0.469461987250382,0.430422448668345,0.332586526299258,0.469461987250382,0.430422448668345,0.469461987250382,0.469461987250382,0.430422448668345,0.469461987250382,0.430422448668345,0.332586526299258,0.430422448668345,0.332586526299258,0.469461987250382,0.332586526299258,0.469461987250382,0.332586526299258,0.469461987250382,0.430422448668345,0.332586526299258,0.430422448668345,0.469461987250382,0.332586526299258,0.469461987250382,0.332586526299258,0.469461987250382,0.469461987250382,0.332586526299258,0.430422448668345,0.430422448668345,0.430422448668345,0.469461987250382,0.469461987250382,0.332586526299258,0.332586526299258,0.332586526299258,0.469461987250382,0.430422448668345,0.469461987250382,0.430422448668345,0.430422448668345,0.430422448668345,0.469461987250382,0.332586526299258,0.430422448668345,0.430422448668345,0.469461987250382,0.430422448668345,0.430422448668345,0.469461987250382,0.469461987250382,0.332586526299258,0.430422448668345,0.430422448668345,0.430422448668345,0.430422448668345,0.332586526299258,0.430422448668345,0.430422448668345,0.469461987250382,0.430422448668345,0.469461987250382,0.430422448668345,0.430422448668345,0.430422448668345,0.430422448668345,0.332586526299258,0.332586526299258,0.469461987250382,0.430422448668345,0.430422448668345,0.469461987250382,0.430422448668345,0.469461987250382,0.332586526299258,0.469461987250382,0.430422448668345,0.332586526299258,0.430422448668345,0.469461987250382,0.469461987250382,0.430422448668345,0.332586526299258,0.430422448668345,0.430422448668345,0.469461987250382,0.332586526299258,0.469461987250382,0.469461987250382
0.05,0.01,0.469230522319404,0.537383743423824,0.498813368698658,0.498813368698658,0.537383743423824,0.498813368698658,0.469230522319404,0.498813368698658,0.498813368698658,0.469230522319404,0.498813368698658,0.498813368698658,0.498813368698658,0.537383743423824,0.537383743423824,0.469230522319404,0.498813368698658,0.537383743423824,0.469230522319404,0.469230522319404,0.537383743423824,0.498813368698658,0.537383743423824,0.498813368698658,0.498813368698658,0.469230522319404,0.537383743423824,0.537383743423824,0.537383743423824,0.537383743423824,0.537383743423824,0.469230522319404,0.498813368698658,0.537383743423824,0.537383743423824,0.537383743423824,0.469230522319404,0.537383743423824,0.469230522319404,0.498813368698658,0.498813368698658,0.469230522319404,0.469230522319404,0.469230522319404,0.537383743423824,0.498813368698658,0.537383743423824,0.469230522319404,0.469230522319404,0.469230522319404,0.469230522319404,0.498813368698658,0.469230522319404,0.498813368698658,0.498813368698658,0.469230522319404,0.537383743423824,0.469230522319404,0.498813368698658,0.537383743423824,0.498813368698658,0.537383743423824,0.498813368698658,0.498813368698658,0.537383743423824,0.498813368698658,0.537383743423824,0.469230522319404,0.469230522319404,0.469230522319404,0.498813368698658,0.469230522319404,0.469230522319404,0.537383743423824,0.498813368698658,0.537383743423824,0.537383743423824,0.469230522319404,0.537383743423824,0.469230522319404,0.537383743423824,0.537383743423824,0.498813368698658,0.469230522319404,0.498813368698658,0.498813368698658,0.537383743423824,0.498813368698658,0.537383743423824,0.537383743423824,0.469230522319404,0.498813368698658,0.537383743423824,0.537383743423824,0.537383743423824,0.537383743423824,0.537383743423824,0.498813368698658,0.537383743423824,0.537383743423824
0.15,0.01,0.445556173385995,0.495718164154811,0.495718164154811,0.495718164154811,0.445556173385995,0.393656534135242,0.445556173385995,0.445556173385995,0.393656534135242,0.393656534135242,0.495718164154811,0.445556173385995,0.393656534135242,0.445556173385995,0.445556173385995,0.445556173385995,0.495718164154811,0.495718164154811,0.445556173385995,0.445556173385995,0.495718164154811,0.445556173385995,0.445556173385995,0.393656534135242,0.495718164154811,0.393656534135242,0.393656534135242,0.495718164154811,0.393656534135242,0.495718164154811,0.495718164154811,0.445556173385995,0.393656534135242,0.393656534135242,0.393656534135242,0.393656534135242,0.393656534135242,0.495718164154811,0.445556173385995,0.393656534135242,0.393656534135242,0.445556173385995,0.393656534135242,0.393656534135242,0.445556173385995,0.495718164154811,0.393656534135242,0.495718164154811,0.393656534135242,0.393656534135242,0.495718164154811,0.495718164154811,0.393656534135242,0.393656534135242,0.393656534135242,0.495718164154811,0.445556173385995,0.495718164154811,0.445556173385995,0.445556173385995,0.495718164154811,0.445556173385995,0.393656534135242,0.445556173385995,0.495718164154811,0.495718164154811,0.495718164154811,0.445556173385995,0.445556173385995,0.393656534135242,0.495718164154811,0.495718164154811,0.393656534135242,0.495718164154811,0.445556173385995,0.445556173385995,0.445556173385995,0.445556173385995,0.445556173385995,0.393656534135242,0.445556173385995,0.393656534135242,0.393656534135242,0.495718164154811,0.393656534135242,0.495718164154811,0.445556173385995,0.445556173385995,0.445556173385995,0.445556173385995,0.445556173385995,0.445556173385995,0.445556173385995,0.495718164154811,0.393656534135242,0.393656534135242,0.445556173385995,0.495718164154811,0.393656534135242,0.495718164154811
0.25,0.01,0.274524172892561,0.381182223602112,0.462945228029285,0.381182223602112,0.381182223602112,0.274524172892561,0.381182223602112,0.274524172892561,0.274524172892561,0.381182223602112,0.381182223602112,0.462945228029285,0.462945228029285,0.381182223602112,0.274524172892561,0.274524172892561,0.381182223602112,0.462945228029285,0.462945228029285,0.274524172892561,0.274524172892561,0.462945228029285,0.462945228029285,0.462945228029285,0.381182223602112,0.462945228029285,0.381182223602112,0.274524172892561,0.381182223602112,0.462945228029285,0.462945228029285,0.462945228029285,0.462945228029285,0.462945228029285,0.381182223602112,0.462945228029285,0.274524172892561,0.462945228029285,0.462945228029285,0.381182223602112,0.381182223602112,0.381182223602112,0.381182223602112,0.462945228029285,0.381182223602112,0.274524172892561,0.381182223602112,0.274524172892561,0.462945228029285,0.462945228029285,0.381182223602112,0.274524172892561,0.274524172892561,0.274524172892561,0.381182223602112,0.462945228029285,0.274524172892561,0.462945228029285,0.462945228029285,0.462945228029285,0.381182223602112,0.381182223602112,0.462945228029285,0.462945228029285,0.381182223602112,0.462945228029285,0.274524172892561,0.381182223602112,0.381182223602112,0.381182223602112,0.381182223602112,0.381182223602112,0.462945228029285,0.381182223602112,0.274524172892561,0.462945228029285,0.462945228029285,0.462945228029285,0.381182223602112,0.381182223602112,0.381182223602112,0.462945228029285,0.462945228029285,0.274524172892561,0.274524172892561,0.462945228029285,0.381182223602112,0.462945228029285,0.381182223602112,0.274524172892561,0.274524172892561,0.462945228029285,0.274524172892561,0.381182223602112,0.381182223602112,0.381182223602112,0.381182223602112,0.274524172892561,0.462945228029285,0.381182223602112
0.5,0.01,0.40894849447114,0.400885976062393,0.469436149855698,0.40894849447114,0.469436149855698,0.469436149855698,0.40894849447114,0.469436149855698,0.40894849447114,0.469436149855698,0.400885976062393,0.40894849447114,0.40894849447114,0.400885976062393,0.40894849447114,0.469436149855698,0.40894849447114,0.400885976062393,0.400885976062393,0.400885976062393,0.469436149855698,0.40894849447114,0.40894849447114,0.40894849447114,0.400885976062393,0.400885976062393,0.40894849447114,0.469436149855698,0.400885976062393,0.40894849447114,0.469436149855698,0.40894849447114,0.400885976062393,0.400885976062393,0.469436149855698,0.469436149855698,0.469436149855698,0.40894849447114,0.400885976062393,0.40894849447114,0.40894849447114,0.400885976062393,0.400885976062393,0.400885976062393,0.469436149855698,0.40894849447114,0.469436149855698,0.400885976062393,0.400885976062393,0.400885976062393,0.40894849447114,0.400885976062393,0.40894849447114,0.469436149855698,0.40894849447114,0.400885976062393,0.469436149855698,0.400885976062393,0.400885976062393,0.469436149855698,0.40894849447114,0.400885976062393,0.400885976062393,0.469436149855698,0.400885976062393,0.400885976062393,0.400885976062393,0.469436149855698,0.400885976062393,0.400885976062393,0.469436149855698,0.469436149855698,0.469436149855698,0.469436149855698,0.400885976062393,0.400885976062393,0.469436149855698,0.400885976062393,0.40894849447114,0.469436149855698,0.400885976062393,0.469436149855698,0.469436149855698,0.40894849447114,0.469436149855698,0.469436149855698,0.40894849447114,0.400885976062393,0.469436149855698,0.40894849447114,0.469436149855698,0.40894849447114,0.469436149855698,0.469436149855698,0.40894849447114,0.400885976062393,0.40894849447114,0.40894849447114,0.469436149855698,0.469436149855698
1.0,0.01,0.364176638461973,0.364176638461973,0.364176638461973,0.364176638461973,0.364176638461973,0.364176638461973,0.359471485296005,0.461256278297914,0.461256278297914,0.359471485296005,0.359471485296005,0.364176638461973,0.461256278297914,0.359471485296005,0.461256278297914,0.364176638461973,0.359471485296005,0.461256278297914,0.364176638461973,0.359471485296005,0.364176638461973,0.461256278297914,0.359471485296005,0.461256278297914,0.461256278297914,0.461256278297914,0.359471485296005,0.364176638461973,0.461256278297914,0.364176638461973,0.364176638461973,0.359471485296005,0.359471485296005,0.461256278297914,0.364176638461973,0.364176638461973,0.359471485296005,0.364176638461973,0.364176638461973,0.359471485296005,0.461256278297914,0.364176638461973,0.359471485296005,0.359471485296005,0.461256278297914,0.461256278297914,0.461256278297914,0.359471485296005,0.461256278297914,0.364176638461973,0.359471485296005,0.359471485296005,0.359471485296005,0.364176638461973,0.364176638461973,0.461256278297914,0.359471485296005,0.461256278297914,0.461256278297914,0.364176638461973,0.359471485296005,0.359471485296005,0.359471485296005,0.359471485296005,0.364176638461973,0.359471485296005,0.359471485296005,0.359471485296005,0.461256278297914,0.364176638461973,0.461256278297914,0.461256278297914,0.359471485296005,0.364176638461973,0.461256278297914,0.364176638461973,0.359471485296005,0.359471485296005,0.461256278297914,0.359471485296005,0.461256278297914,0.461256278297914,0.461256278297914,0.461256278297914,0.461256278297914,0.461256278297914,0.359471485296005,0.359471485296005,0.364176638461973,0.359471485296005,0.364176638461973,0.364176638461973,0.359471485296005,0.359471485296005,0.359471485296005,0.461256278297914,0.359471485296005,0.461256278297914,0.461256278297914,0.461256278297914
2.0,0.01,0.381511211264933,0.348289914362329,0.381511211264933,0.381511211264933,0.381511211264933,0.386979618502648,0.386979618502648,0.348289914362329,0.348289914362329,0.348289914362329,0.348289914362329,0.386979618502648,0.381511211264933,0.348289914362329,0.381511211264933,0.381511211264933,0.386979618502648,0.386979618502648,0.348289914362329,0.381511211264933,0.381511211264933,0.348289914362329,0.348289914362329,0.386979618502648,0.381511211264933,0.386979618502648,0.381511211264933,0.386979618502648,0.348289914362329,0.381511211264933,0.386979618502648,0.386979618502648,0.348289914362329,0.381511211264933,0.381511211264933,0.381511211264933,0.381511211264933,0.348289914362329,0.386979618502648,0.386979618502648,0.381511211264933,0.381511211264933,0.381511211264933,0.381511211264933,0.386979618502648,0.381511211264933,0.386979618502648,0.386979618502648,0.386979618502648,0.348289914362329,0.348289914362329,0.381511211264933,0.381511211264933,0.386979618502648,0.381511211264933,0.386979618502648,0.386979618502648,0.381511211264933,0.386979618502648,0.381511211264933,0.381511211264933,0.381511211264933,0.381511211264933,0.381511211264933,0.348289914362329,0.386979618502648,0.386979618502648,0.381511211264933,0.348289914362329,0.348289914362329,0.348289914362329,0.348289914362329,0.386979618502648,0.348289914362329,0.386979618502648,0.386979618502648,0.348289914362329,0.348289914362329,0.386979618502648,0.381511211264933,0.386979618502648,0.348289914362329,0.386979618502648,0.348289914362329,0.381511211264933,0.386979618502648,0.386979618502648,0.348289914362329,0.386979618502648,0.381511211264933,0.381511211264933,0.381511211264933,0.381511211264933,0.381511211264933,0.386979618502648,0.386979618502648,0.386979618502648,0.348289914362329,0.381511211264933,0.381511211264933
0.0,0.03,0.272740977029271,0.293965871312056,0.272740977029271,0.272740977029271,0.272740977029271,0.311082369982497,0.311082369982497,0.311082369982497,0.311082369982497,0.293965871312056,0.293965871312056,0.293965871312056,0.272740977029271,0.293965871312056,0.272740977029271,0.311082369982497,0.293965871312056,0.311082369982497,0.311082369982497,0.272740977029271,0.293965871312056,0.293965871312056,0.311082369982497,0.293965871312056,0.311082369982497,0.272740977029271,0.293965871312056,0.311082369982497,0.272740977029271,0.293965871312056,0.311082369982497,0.272740977029271,0.293965871312056,0.272740977029271,0.293965871312056,0.272740977029271,0.272740977029271,0.272740977029271,0.293965871312056,0.311082369982497,0.311082369982497,0.272740977029271,0.293965871312056,0.293965871312056,0.293965871312056,0.293965871312056,0.293965871312056,0.272740977029271,0.293965871312056,0.293965871312056,0.293965871312056,0.311082369982497,0.293965871312056,0.272740977029271,0.293965871312056,0.272740977029271,0.293965871312056,0.311082369982497,0.311082369982497,0.311082369982497,0.272740977029271,0.272740977029271,0.272740977029271,0.293965871312056,0.272740977029271,0.272740977029271,0.311082369982497,0.293965871312056,0.293965871312056,0.272740977029271,0.293965871312056,0.272740977029271,0.311082369982497,0.311082369982497,0.293965871312056,0.272740977029271,0.311082369982497,0.293965871312056,0.272740977029271,0.311082369982497,0.311082369982497,0.311082369982497,0.293965871312056,0.311082369982497,0.293965871312056,0.293965871312056,0.293965871312056,0.272740977029271,0.293965871312056,0.293965871312056,0.272740977029271,0.293965871312056,0.272740977029271,0.272740977029271,0.293965871312056,0.293965871312056,0.311082369982497,0.272740977029271,0.272740977029271,0.311082369982497
0.005,0.03,0.245848308508281,0.32426494803576,0.245848308508281,0.363122713035754,0.245848308508281,0.245848308508281,0.245848308508281,0.363122713035754,0.363122713035754,0.32426494803576,0.363122713035754,0.245848308508281,0.245848308508281,0.363122713035754,0.245848308508281,0.245848308508281,0.32426494803576,0.245848308508281,0.32426494803576,0.245848308508281,0.245848308508281,0.32426494803576,0.32426494803576,0.245848308508281,0.245848308508281,0.32426494803576,0.32426494803576,0.32426494803576,0.32426494803576,0.245848308508281,0.245848308508281,0.32426494803576,0.363122713035754,0.32426494803576,0.245848308508281,0.245848308508281,0.245848308508281,0.32426494803576,0.32426494803576,0.32426494803576,0.32426494803576,0.32426494803576,0.32426494803576,0.32426494803576,0.363122713035754,0.32426494803576,0.363122713035754,0.363122713035754,0.363122713035754,0.32426494803576,0.32426494803576,0.363122713035754,0.245848308508281,0.32426494803576,0.363122713035754,0.32426494803576,0.32426494803576,0.245848308508281,0.245848308508281,0.245848308508281,0.32426494803576,0.32426494803576,0.32426494803576,0.32426494803576,0.245848308508281,0.245848308508281,0.32426494803576,0.363122713035754,0.245848308508281,0.245848308508281,0.32426494803576,0.363122713035754,0.363122713035754,0.245848308508281,0.32426494803576,0.245848308508281,0.32426494803576,0.363122713035754,0.363122713035754,0.363122713035754,0.363122713035754,0.363122713035754,0.245848308508281,0.245848308508281,0.363122713035754,0.32426494803576,0.363122713035754,0.245848308508281,0.32426494803576,0.245848308508281,0.363122713035754,0.32426494803576,0.363122713035754,0.363122713035754,0.363122713035754,0.32426494803576,0.363122713035754,0.245848308508281,0.32426494803576,0.32426494803576
0.01,0.03,0.351094278969021,0.331223014059362,0.351094278969021,0.331223014059362,0.331223014059362,0.331223014059362,0.331223014059362,0.333333590651912,0.333333590651912,0.351094278969021,0.331223014059362,0.351094278969021,0.351094278969021,0.351094278969021,0.333333590651912,0.331223014059362,0.331223014059362,0.333333590651912,0.333333590651912,0.351094278969021,0.331223014059362,0.331223014059362,0.351094278969021,0.333333590651912,0.351094278969021,0.331223014059362,0.351094278969021,0.331223014059362,0.331223014059362,0.351094278969021,0.333333590651912,0.331223014059362,0.333333590651912,0.331223014059362,0.331223014059362,0.331223014059362,0.331223014059362,0.351094278969021,0.333333590651912,0.351094278969021,0.331223014059362,0.333333590651912,0.331223014059362,0.333333590651912,0.331223014059362,0.351094278969021,0.331223014059362,0.333333590651912,0.351094278969021,0.351094278969021,0.351094278969021,0.331223014059362,0.351094278969021,0.333333590651912,0.333333590651912,0.351094278969021,0.351094278969021,0.331223014059362,0.331223014059362,0.333333590651912,0.351094278969021,0.351094278969021,0.331223014059362,0.333333590651912,0.351094278969021,0.351094278969021,0.351094278969021,0.351094278969021,0.333333590651912,0.351094278969021,0.351094278969021,0.331223014059362,0.333333590651912,0.351094278969021,0.331223014059362,0.333333590651912,0.331223014059362,0.333333590651912,0.351094278969021,0.351094278969021,0.351094278969021,0.333333590651912,0.331223014059362,0.331223014059362,0.333333590651912,0.351094278969021,0.351094278969021,0.351094278969021,0.331223014059362,0.351094278969021,0.333333590651912,0.333333590651912,0.351094278969021,0.331223014059362,0.333333590651912,0.333333590651912,0.333333590651912,0.331223014059362,0.333333590651912,0.351094278969021
0.025,0.03,0.334515733199332,0.334515733199332,0.391238757956333,0.438960139570092,0.391238757956333,0.334515733199332,0.391238757956333,0.334515733199332,0.438960139570092,0.438960139570092,0.334515733199332,0.391238757956333,0.334515733199332,0.391238757956333,0.391238757956333,0.391238757956333,0.391238757956333,0.391238757956333,0.391238757956333,0.334515733199332,0.334515733199332,0.334515733199332,0.438960139570092,0.334515733199332,0.334515733199332,0.438960139570092,0.334515733199332,0.334515733199332,0.334515733199332,0.334515733199332,0.334515733199332,0.391238757956333,0.334515733199332,0.438960139570092,0.391238757956333,0.391238757956333,0.334515733199332,0.438960139570092,0.334515733199332,0.438960139570092,0.391238757956333,0.334515733199332,0.438960139570092,0.334515733199332,0.438960139570092,0.391238757956333,0.391238757956333,0.334515733199332,0.391238757956333,0.391238757956333,0.391238757956333,0.438960139570092,0.438960139570092,0.391238757956333,0.438960139570092,0.391238757956333,0.334515733199332,0.334515733199332,0.438960139570092,0.334515733199332,0.438960139570092,0.438960139570092,0.391238757956333,0.391238757956333,0.438960139570092,0.334515733199332,0.391238757956333,0.438960139570092,0.334515733199332,0.334515733199332,0.438960139570092,0.438960139570092,0.438960139570092,0.438960139570092,0.438960139570092,0.438960139570092,0.334515733199332,0.438960139570092,0.334515733199332,0.391238757956333,0.391238757956333,0.334515733199332,0.334515733199332,0.334515733199332,0.438960139570092,0.438960139570092,0.391238757956333,0.438960139570092,0.438960139570092,0.334515733199332,0.334515733199332,0.391238757956333,0.334515733199332,0.334515733199332,0.334515733199332,0.438960139570092,0.438960139570092,0.438960139570092,0.438960139570092,0.438960139570092
0.05,0.03,0.392546074660735,0.457263659749839,0.526558102094881,0.526558102094881,0.392546074660735,0.526558102094881,0.457263659749839,0.392546074660735,0.526558102094881,0.457263659749839,0.526558102094881,0.526558102094881,0.392546074660735,0.392546074660735,0.392546074660735,0.526558102094881,0.526558102094881,0.457263659749839,0.392546074660735,0.392546074660735,0.457263659749839,0.526558102094881,0.457263659749839,0.457263659749839,0.392546074660735,0.392546074660735,0.526558102094881,0.526558102094881,0.526558102094881,0.392546074660735,0.392546074660735,0.457263659749839,0.392546074660735,0.392546074660735,0.392546074660735,0.526558102094881,0.526558102094881,0.457263659749839,0.392546074660735,0.526558102094881,0.392546074660735,0.457263659749839,0.526558102094881,0.457263659749839,0.392546074660735,0.457263659749839,0.526558102094881,0.526558102094881,0.457263659749839,0.526558102094881,0.392546074660735,0.526558102094881,0.392546074660735,0.526558102094881,0.526558102094881,0.457263659749839,0.526558102094881,0.392546074660735,0.392546074660735,0.526558102094881,0.392546074660735,0.392546074660735,0.457263659749839,0.392546074660735,0.457263659749839,0.526558102094881,0.457263659749839,0.457263659749839,0.392546074660735,0.526558102094881,0.392546074660735,0.526558102094881,0.457263659749839,0.392546074660735,0.392546074660735,0.392546074660735,0.457263659749839,0.457263659749839,0.526558102094881,0.526558102094881,0.392546074660735,0.526558102094881,0.457263659749839,0.457263659749839,0.392546074660735,0.526558102094881,0.457263659749839,0.526558102094881,0.457263659749839,0.526558102094881,0.457263659749839,0.526558102094881,0.526558102094881,0.392546074660735,0.392546074660735,0.526558102094881,0.457263659749839,0.392546074660735,0.526558102094881,0.392546074660735
0.15,0.03,0.56450869914022,0.56450869914022,0.557625697457122,0.491379870299658,0.491379870299658,0.491379870299658,0.557625697457122,0.56450869914022,0.557625697457122,0.56450869914022,0.56450869914022,0.491379870299658,0.56450869914022,0.491379870299658,0.491379870299658,0.557625697457122,0.557625697457122,0.491379870299658,0.491379870299658,0.491379870299658,0.56450869914022,0.557625697457122,0.491379870299658,0.56450869914022,0.491379870299658,0.491379870299658,0.56450869914022,0.56450869914022,0.557625697457122,0.557625697457122,0.56450869914022,0.56450869914022,0.56450869914022,0.557625697457122,0.56450869914022,0.56450869914022,0.491379870299658,0.557625697457122,0.557625697457122,0.491379870299658,0.557625697457122,0.56450869914022,0.491379870299658,0.557625697457122,0.557625697457122,0.557625697457122,0.557625697457122,0.491379870299658,0.56450869914022,0.491379870299658,0.557625697457122,0.557625697457122,0.557625697457122,0.557625697457122,0.557625697457122,0.491379870299658,0.491379870299658,0.491379870299658,0.557625697457122,0.491379870299658,0.557625697457122,0.557625697457122,0.557625697457122,0.491379870299658,0.557625697457122,0.56450869914022,0.491379870299658,0.491379870299658,0.557625697457122,0.56450869914022,0.56450869914022,0.491379870299658,0.491379870299658,0.491379870299658,0.557625697457122,0.56450869914022,0.491379870299658,0.56450869914022,0.491379870299658,0.557625697457122,0.491379870299658,0.56450869914022,0.56450869914022,0.557625697457122,0.56450869914022,0.557625697457122,0.56450869914022,0.557625697457122,0.557625697457122,0.56450869914022,0.557625697457122,0.557625697457122,0.491379870299658,0.56450869914022,0.557625697457122,0.56450869914022,0.557625697457122,0.491379870299658,0.557625697457122,0.491379870299658
