Model name,Num parameters,R^2,Akaike weight,Parameter names,Parameter values
liebig_monod,3,0.9916247182502275,0.09697698079710071,zmax;c1;c2,0.671001341297878;0.1362686629420256;0.22510679457650756
liebig_monod_rmin,5,0.9917391855705354,0.010050113801085338,zmax;c1;c2;R1min;R2min,0.6743992032062237;0.1340550755366983;0.2219698972571122;0.018779443771165943;0.010949406376629995
liebig_hill,5,0.9918220154066324,0.014813894327069171,zmax;c1;c2;n1;n2,0.6736261734642617;0.1344572541134161;0.2277724999304824;0.9777126131264946;1.0324932229506356
liebig_hill_rmin,7,0.9922339765425842,0.007315636130922047,zmax;c1;c2;n1;n2;R1min;R2min,0.6579659761885795;0.1387577927251038;0.22918051231274472;1.0120674146405553;1.1266685514896626;0.016366854841781235;0.060217954496903696
liebig_blackman,3,0.9285355170532006,1.3793411863637967e-37,zmax;c1;c2,0.556980471869328;0.0549269969166219;0.10402839853782984
liebig_blackman_rmin,5,0.9541962096665664,2.305933285459898e-31,zmax;c1;c2;R1min;R2min,0.556980471869328;0.048565418932762755;0.09621464601320255;0.7223785638979142;0.23745202043162328
liebig_bertalanffy,3,0.9899364323407578,8.245095319971213e-05,zmax;c1;c2,0.5483948963285946;0.15991376215865727;0.2653644275738173
liebig_bertalanffy_rmin,5,0.991456738605981,0.0027544766504192506,zmax;c1;c2;R1min;R2min,0.554220127048362;0.15162562540978358;0.2545479698999566;0.08685912299288319;0.04438314069085213
multiplicative_monod,3,0.9776901917410441,4.027697096539795e-18,zmax;c1;c2,0.6549746888673013;0.19911189860160539;0.3820758377387116
multiplicative_monod_rmin,5,0.9777110526888858,2.547436486865778e-19,zmax;c1;c2;R1min;R2min,0.656239628882821;0.1978653500898032;0.3802299627761848;0.008534869090731674;0.005134536702379253
multiplicative_hill,5,0.9782701287610057,6.774089734177208e-19,zmax;c1;c2;n1;n2,0.6323618656836035;0.19779346916634577;0.39098556411356533;1.0296628169993094;1.1099777157425879
multiplicative_hill_rmin,7,0.9793155743749808,3.05230929947837e-19,zmax;c1;c2;n1;n2;R1min;R2min,0.6099641134939934;0.1910329394960668;0.3425736219892904;1.0759622160811577;1.3924395711393773;0.04257514477182119;0.17220391870525617
multiplicative_blackman,3,0.9286359182841513,1.456058437145083e-37,zmax;c1;c2,0.510167251426262;0.08020243869643595;0.10502620155243357
multiplicative_blackman_rmin,5,0.9508324551318404,1.506358024351008e-32,zmax;c1;c2;R1min;R2min,0.508771992389944;0.07116722104930616;0.09022813698180071;0.4485494921618391;0.5500199573455359
multiplicative_bertalanffy,3,0.9754317564020479,9.834297410963444e-20,zmax;c1;c2,0.5240030124367493;0.18944786661260823;0.33252793983908774
multiplicative_bertalanffy_rmin,5,0.9778615548154224,3.3066432944386957e-19,zmax;c1;c2;R1min;R2min,0.5303066561504785;0.17712253313666132;0.31348162116982065;0.12574781914317185;0.08015560458197167
pat,3,0.9920686454735052,0.7893563019286933,zmax;c1;c2,0.6891908611541265;0.14339107047183697;0.24545126512041784
pat_rmin,5,0.9921214101360961,0.062270786682893015,zmax;c1;c2;R1min;R2min,0.691625371108105;0.1418613052688192;0.24334462750195193;0.012728997511988357;0.006849774843321311
additive,3,0.9886418893468146,7.813792690181236e-07,zmax;c1;c2,0.709366571892949;0.16023186271360967;0.2866275796381583
additive_rmin,5,0.9886418937505124,4.767307256685186e-08,zmax;c1;c2;R1min;R2min,0.7093860146571077;0.16021253837882937;0.28662842479914136;0.0001419287368309384;8.457545181522022e-16
mankad_bungay,3,0.9894285866580823,1.2388649747632095e-05,zmax;c1;c2,0.6837300337558995;0.10885139461368007;0.1777608830962601
mankad_bungay_rmin,5,0.9894313175112713,7.633937124841248e-07,zmax;c1;c2;R1min;R2min,0.6839794177272384;0.10880115953641989;0.1773539426956225;2.0345747936660545e-20;0.0021170891942576004
generalized_additive,4,0.9913217665543577,0.006025614078278862,zmax;c1;c2;q,0.6136501495251495;0.12420948745656304;0.21303868482984994;1.3652503944414087
generalized_additive_rmin,6,0.9920319930874076,0.010339763554536845,zmax;c1;c2;q;R1min;R2min,0.6021744781123421;0.11202673161241357;0.19236305254007607;1.4965657660274205;0.06513697421653722;0.035452407015114804
saito_sub,3,0.41938250188208126,1.295319589721963e-72,zmax;c1;c2,0.3154086766595769;0.08744679702854444;0.001943426289171494
saito_sub_rmin,5,0.4193825025093335,7.902813403470138e-74,zmax;c1;c2;R1min;R2min,0.315405416688053;0.08745064143183814;0.0019432110894936252;2.449604578496963e-38;1.7978007675973602e-33
mean_monod_sub,3,0.603588723653952,3.115484230842225e-66,zmax;c1;c2,0.43708264468451835;0.08864987882895455;0.07001037441140497
mean_monod_sub_rmin,5,0.6035887235438279,1.9007733261954607e-67,zmax;c1;c2;R1min;R2min,0.4371062808054711;0.08862305078038674;0.07001291735131611;7.762814225566806e-23;5.636972913625787e-18
chem_depend,3,0.9132060529112609,7.767891545848955e-41,zmax;c1;c2,0.5833640728870676;0.3045120761110582;0.03959184661554769
chem_depend_rmin,5,0.9137734869737558,6.100699292463069e-42,zmax;c1;c2;R1min;R2min,0.5900913247714059;0.27742567213879;0.043375227401745466;0.07597863664336377;1.3812208354532115e-19
